gene,p_val,avg_log2FC,padj
PKLR,0.003446004682184,-1.30991000571535,NA
LHFPL3-AS1,0.0033321161175616,-1.30953793277614,0.0926468693976043
FGF14-AS1,0.0003457808958332,-1.30939890921266,0.0335292233256202
LINC02172,0.020760290919758,-1.30634555005595,NA
AC018643.1,0.0010083623469574,-1.30612269556048,0.0550107494917424
AC097537.1,0.0022099776806273,-1.30502404478431,0.0790536197860526
AC116616.1,0.0892392321507696,-1.3024509415395,0.386195648175554
RGPD1,0.0008472312640021,-1.30212538689205,0.0511835719658777
AC138207.7,0.0097593707171829,-1.30180038035517,0.1499129274927
AC007682.1,0.0039872623004354,-1.30062234215738,0.0986449664528762
AL591069.1,0.0010245138738835,-1.30049452532976,0.0555551905768828
CELA2B,0.0036310040371308,-1.30046985319225,0.0963592392928174
AC093610.1,0.0075822898694964,-1.30024435043746,0.131506709557365
AP000857.2,0.0003477463803246,-1.29992716879746,0.0335292233256202
RCAN3AS,0.010187770475641,-1.29921727183312,0.151762223751425
LINC02005,0.0277461052047853,-1.2992164399812,0.232981871269473
AL080273.1,0.0175920887981919,-1.29793476341833,0.197904669434868
AC022101.1,0.001281900783869,-1.29297611964192,0.0625191292353101
IDO1,0.0089180441642072,-1.29160315540648,0.144275218449285
DIAPH2-AS1,0.0012971146767762,-1.29066930109604,0.0627385852299798
AL596451.1,0.0061893981069162,-1.28948493897993,0.119943739632737
CASC19,0.0400317993232213,-1.28902470697353,0.274594606101611
AP004147.1,0.0011376972065097,-1.28821756446773,0.0591252521845016
TEX11,0.002981959595414,-1.2878459730085,0.0880436080748196
CEACAM1,0.0002558146323923,-1.28441442719259,0.0303424801972711
NTS,0.0205269157537546,-1.28226034642682,0.20784368071701
SH2D4A,0.0007968890984214,-1.28056332450436,0.0497782120533959
AC091906.1,0.0644480930526626,-1.28052818184202,0.335917492538241
AC016042.1,0.0003177601063912,-1.28042014469876,0.0326143958358099
CCN5,0.0110156735974497,-1.27819864502925,0.157768633074692
DNAH3,0.0003394015659232,-1.27772974541757,0.0332078608223694
AL118558.3,0.0055328698182279,-1.27501178839979,0.114080002156138
AC068308.1,0.0016469785746092,-1.27128136363648,0.0702619793333872
LINC00906,0.0266967939199106,-1.27095312907821,NA
AC104316.1,0.0009845725594725,-1.26966634952682,0.0545848918087263
GJB7,0.0024523184284065,-1.26907238790185,0.0816626391401921
STARD13-AS,0.0009470358821511,-1.26891903184852,0.0541253555122789
NCOA7-AS1,0.0102433261703836,-1.26234121890927,0.152279604496628
KANK3,0.0039879100583079,-1.26095184393313,0.0986449664528762
AC005253.1,0.0029929838439032,-1.25902300683313,0.0880436080748196
TNFSF9,0.0011581476509898,-1.2569721399569,0.059556978637316
AC118555.1,0.0388959839413789,-1.2563408782364,0.270653308684142
AL157938.2,0.0003998889678063,-1.25557072294978,0.0361768898865245
ASPN,0.0016040144202452,-1.25504690395063,0.069189197454114
HEPN1,0.0009952968447866,-1.25392367704565,0.0546970911300925
